,Name,ISO Alpha-3,ISO Alpha-2,Offshore
0,Albania,ALB,AL,True
1,Bosnia and Herzegovina,BIH,BA,True
2,Kosovo,XKX,XK,False
3,Montenegro,MNE,ME,True
4,North Macedonia,MKD,MK,False
5,Norway,NOR,NO,True
6,Serbia,SRB,RS,False
7,Switzerland,CHE,CH,False
8,United Kingdom,GBR,GB,True
