country,year,offshore,entsoe_offshore_wind_generation,entsoe_offshore_wind_installed_capacity,opsd_offshore_wind_generation,opsd_offshore_wind_installed_capacity,entsoe_onshore_wind_generation,entsoe_onshore_wind_installed_capacity,opsd_onshore_wind_generation,opsd_onshore_wind_installed_capacity,ei_wind_installed_capacity,entsoe_solar_generation,entsoe_solar_installed_capacity,opsd_solar_generation,opsd_solar_installed_capacity,ei_solar_installed_capacity,entsoe_reservoir_filling_level,entsoe_hydropower_inflow
Netherlands,2018,True,882.0,957.0,904.0,,956.0,3675.0,2896.0,,4393.110000000001,10.0,2584.0,2262.0,,4608.0,,
Netherlands,2019,True,885.0,957.0,914.0,,1602.0,3436.0,1422.0,,4484.16,58.75,4608.0,22.0,,7226.0,,
North Macedonia,2015,False,,,,,,,,,,,,,,,,
North Macedonia,2016,False,,,,,71.0,35.0,,,,,,,,,,
North Macedonia,2017,False,,,,,36.0,35.0,,,,,,,,,,
North Macedonia,2018,False,,,,,36.0,,,,,,,,,,,
North Macedonia,2019,False,,,,,36.0,35.0,,,,,,,,,,
Norway,2015,True,,,,,670.0,627.0,670.07,,867.0,,,,,,76191000.0,9041735.0
Norway,2016,True,,,,,728.0,692.0,728.4,,883.0,,,,,,70814000.0,9620627.0
Norway,2017,True,,,,,975.0,904.0,974.69,,1207.0,,,,,,71179000.0,9076369.0
Norway,2018,True,,,,,1005.0,1232.0,1004.95,,1710.0,,,,,,66757000.0,9983182.0
Norway,2019,True,,,,,1936.0,2262.0,1936.44,,2914.0,,,,,,71892000.0,8866826.0
Poland,2015,True,,,,,4223.0,3758.0,4223.16,,4886.0,,14.0,,,107.78,,
Poland,2016,True,,,,,4892.0,5494.0,4891.73,,5747.0,,77.0,,,187.25,,
Poland,2017,True,,,,,5234.0,6026.0,5234.34,,5759.36,,187.0,,,287.09,,
Poland,2018,True,,,,,5196.0,5791.0,5195.93,,5766.08,,231.0,,,561.98,,
Poland,2019,True,,,,,5222.0,5808.0,5222.08,,5836.82,,430.0,,,1539.26,,
Portugal,2015,True,,0.0,,,4192.0,4486.0,4191.6,,4936.84,369.0,221.0,368.7,,447.0,2113114.0,294950.0
Portugal,2016,True,,0.0,,,4423.0,4617.0,4422.6,,5124.1,389.0,251.0,389.3,,512.82,2897771.0,334376.0
Portugal,2017,True,,0.0,,,4471.0,5028.0,4471.3,,5124.1,403.0,261.0,403.1,,579.24,2139414.0,299530.0
Portugal,2018,True,,0.0,,,4437.0,5073.0,4436.9,,5172.36,441.0,272.0,440.9,,667.43,2673271.0,491478.0
Portugal,2019,True,,0.0,,,4632.0,5127.0,4631.7,,5222.75,517.0,324.0,516.8,,901.44,2481857.0,426637.0
Romania,2015,True,,,,,2687.0,2896.0,2687.0,,3130.0,774.0,1101.0,774.0,,1326.0,1904100.0,296792.0
Romania,2016,True,,,,,2794.0,2938.0,2794.0,,3025.0,807.0,1152.0,807.0,,1372.0,2641200.0,292717.0
Romania,2017,True,,,,,2756.0,2985.0,2756.0,,3029.8,848.0,1210.0,848.0,,1374.2,1932200.0,367104.0
Romania,2018,True,,,,,2759.0,2987.0,2759.0,,3032.26,864.0,1211.0,864.0,,1385.9099999999999,2839600.0,409513.0
Romania,2019,True,,,,,2809.0,2968.0,2809.0,,3037.52,867.0,1150.0,867.0,,1397.8,2826500.0,425085.0
Serbia,2015,False,,,,,,,,,,,,,,,,
Serbia,2016,False,,,,,,,,,,,,,,,,
Serbia,2017,False,,,,,,17.0,,,,,4.0,,,,499000.0,55564.0
Serbia,2018,False,,,,,,25.0,,,,,4.0,,,,540000.0,75189.0
Serbia,2019,False,,,,,,398.0,,,,,4.0,,,,468000.0,104174.0
Slovakia,2015,False,,,,,0.0,3.0,,,,365.0,532.0,364.9,,533.0,,
Slovakia,2016,False,,,,,0.0,3.0,,,,387.0,530.0,387.2,,533.0,,
Slovakia,2017,False,,,,,0.0,3.0,,,,376.0,530.0,375.9,,528.0,,
Slovakia,2018,False,,,,,0.0,3.0,,,,340.0,531.0,340.0,,472.0,,
Slovakia,2019,False,,,,,7.0,3.0,,,,356.0,531.0,355.5,,590.0,,
Slovenia,2015,True,,0.0,,,3.0,3.0,3.25,,,199.0,262.0,198.61,,,2600.0,
Slovenia,2016,True,,0.0,,,3.0,3.0,3.23,,,220.0,263.0,220.19,,,2600.0,
Slovenia,2017,True,,0.0,,,4.0,3.0,4.57,,,250.0,266.0,249.83,,,2600.0,
Slovenia,2018,True,,0.0,,,3.0,3.0,3.27,,,223.0,275.0,223.14,,,2600.0,
Slovenia,2019,True,,0.0,,,3.0,3.0,3.11,,,200.0,275.0,199.71,,,2600.0,
Spain,2015,True,0.0,0.0,,,17436.0,22740.0,17436.0,,22943.0,5668.0,6535.0,5668.0,,7008.0599999999995,13438359.0,2851317.0
Spain,2016,True,0.0,0.0,,,17321.0,22772.0,17321.0,,22990.0,5792.0,6500.0,5792.0,,7017.0599999999995,13674197.0,1765450.0
Spain,2017,True,0.0,0.0,,,15564.0,22813.0,15564.0,,23124.48,5676.0,6720.0,5676.0,,7027.0599999999995,8311024.0,1160855.0
